Generation,Hypervolume,Min error,Max error,Avg error,Min gate fit,Max gate fit,Avg gate fit
0,0.448409837,0.5,1.0,0.829239128,0.06897,1.27586,0.292220796
1,0.452728113,0.5,1.0,0.789155578,0.06897,1.17241,0.20431153400000002
2,0.534636863,0.375,1.0,0.776654864,0.06897,1.17241,0.162574752
3,0.534636863,0.375,1.0,0.7718258659999999,0.06897,1.17241,0.147016502
4,0.534636863,0.375,1.0,0.7728935180000001,0.06897,1.17241,0.145113106
5,0.534636863,0.375,1.0,0.77129228,0.06897,1.17241,0.144237234
6,0.534636863,0.375,1.0,0.773208966,0.06897,1.17241,0.14557514000000002
7,0.534636863,0.375,1.0,0.7726649600000001,0.06897,1.17241,0.14476137800000002
8,0.534636863,0.375,1.0,0.773250742,0.06897,1.17241,0.144933772
9,0.534636863,0.375,1.0,0.772185466,0.06897,1.31034,0.145457892
10,0.534636863,0.375,1.0,0.7720568019999999,0.06897,1.17241,0.14458892799999998
11,0.534636863,0.375,1.0,0.7727592759999999,0.06897,1.17241,0.145354452
12,0.534636863,0.375,1.0,0.773568264,0.06897,1.17241,0.146209606
13,0.534636863,0.375,1.0,0.772424672,0.06897,1.17241,0.14544410000000002
14,0.534636863,0.375,1.0,0.77362995,0.06897,1.17241,0.14506477600000003
15,0.534636863,0.375,1.0,0.7725401159999999,0.06897,1.17241,0.14417517200000002
16,0.5777531129999999,0.25,1.0,0.773382264,0.06897,1.17241,0.145175126
17,0.5777531129999999,0.25,1.0,0.773202218,0.06897,1.17241,0.145126856
18,0.5868680924999999,0.25,1.0,0.77182159,0.06897,1.17241,0.14523720599999998
19,0.5878643159999999,0.25,1.0,0.771859404,0.06897,1.17241,0.145506162
20,0.5878643159999999,0.25,1.0,0.77112406,0.06897,1.17241,0.14676135600000004
21,0.5878643159999999,0.25,1.0,0.771365792,0.06897,1.17241,0.14716817799999998
22,0.5878643159999999,0.25,1.0,0.7718912179999999,0.06897,1.17241,0.14687167399999998
23,0.5906843629999999,0.25,1.0,0.7711774659999999,0.06897,1.17241,0.14767169
24,0.5906843629999999,0.25,1.0,0.771924442,0.06897,1.17241,0.145368276
25,0.599305613,0.25,1.0,0.771881574,0.06897,1.17241,0.146602696
26,0.599305613,0.25,1.0,0.771139392,0.06897,1.17241,0.14443035199999998
Best Pareto front
Generation,Hypervolume,error,gate fit
27,0.599305613,0.75,0.06897
27,0.599305613,0.75,0.06897
27,0.599305613,0.75,0.06897
27,0.599305613,0.75,0.06897
27,0.599305613,0.75,0.06897
27,0.599305613,0.75,0.06897
27,0.599305613,0.75,0.06897
27,0.599305613,0.75,0.06897
27,0.599305613,0.75,0.06897
27,0.599305613,0.75,0.06897
27,0.599305613,0.75,0.06897
27,0.599305613,0.75,0.06897
27,0.599305613,0.75,0.06897
27,0.599305613,0.75,0.06897
27,0.599305613,0.75,0.06897
27,0.599305613,0.75,0.06897
27,0.599305613,0.75,0.06897
27,0.599305613,0.625,0.10345
27,0.599305613,0.625,0.10345
27,0.599305613,0.625,0.10345
27,0.599305613,0.625,0.10345
27,0.599305613,0.625,0.10345
27,0.599305613,0.625,0.10345
27,0.599305613,0.5,0.13793
27,0.599305613,0.5,0.13793
27,0.599305613,0.5,0.13793
27,0.599305613,0.25,0.55172
27,0.599305613,0.25,0.55172
27,0.599305613,0.375,0.27586
Best fitness
Objective,Generation,Error
0,18,0.25
1,2,0.06897
Avg simulation runtime,Avg generation runtime
19.825925925925926,31.925925925925927
