Generation,Hypervolume,Min error,Max error,Avg error,Min gate fit,Max gate fit,Avg gate fit
0,0.4990847101,0.41513,1.0,0.8490553380000001,0.06897,1.0,0.29037909
1,0.4995158225,0.41513,1.0,0.830333302,0.06897,1.0,0.27881376
2,0.5849322903,0.30568,1.0,0.8140929819999999,0.06897,1.0,0.260613978
3,0.5849322903,0.30568,1.0,0.807336512,0.06897,1.0,0.243290136
4,0.5872208887,0.30252,1.0,0.80405861,0.06897,1.0,0.215166572
5,0.5873522575,0.30252,1.0,0.813792378,0.06897,1.0,0.192201694
6,0.5873522575,0.30252,1.0,0.8266265599999999,0.06897,1.0,0.175946976
7,0.5873522575,0.30252,1.0,0.8297469439999999,0.06897,1.0,0.171926334
8,0.5875333175,0.30227,1.0,0.8296703679999998,0.06897,1.0,0.17243667399999998
9,0.5875333175,0.30227,1.0,0.8302435999999997,0.06897,1.0,0.17231254
10,0.5875333175,0.30227,1.0,0.8301715279999998,0.06897,1.0,0.173188358
11,0.5875333175,0.30227,1.0,0.8303790519999998,0.06897,1.0,0.173588388
12,0.5923685351,0.29526,1.0,0.8317820739999999,0.06897,1.0,0.17350560999999998
13,0.5923685351,0.29526,1.0,0.829584196,0.06897,1.0,0.173043588
14,0.6072684999,0.2751,1.0,0.8297608199999998,0.06897,1.0,0.1733677
15,0.6072684999,0.2751,1.0,0.83159659,0.06897,1.06897,0.174078024
16,0.6072684999,0.2751,1.0,0.8303778180000001,0.06897,1.0,0.17312629200000001
Best Pareto front
Generation,Hypervolume,error,gate fit
16,0.6072684999,0.82322,0.06897
16,0.6072684999,0.82322,0.06897
16,0.6072684999,0.82322,0.06897
16,0.6072684999,0.82322,0.06897
16,0.6072684999,0.82322,0.06897
16,0.6072684999,0.82322,0.06897
16,0.6072684999,0.82322,0.06897
16,0.6072684999,0.82322,0.06897
16,0.6072684999,0.82322,0.06897
16,0.6072684999,0.46715,0.2069
16,0.6072684999,0.46715,0.2069
16,0.6072684999,0.46715,0.2069
16,0.6072684999,0.46715,0.2069
16,0.6072684999,0.46715,0.2069
16,0.6072684999,0.46715,0.2069
16,0.6072684999,0.61667,0.17241
16,0.6072684999,0.61667,0.17241
16,0.6072684999,0.76903,0.10345
16,0.6072684999,0.76903,0.10345
16,0.6072684999,0.32125,0.24138
16,0.6072684999,0.32125,0.24138
16,0.6072684999,0.32125,0.24138
16,0.6072684999,0.2751,0.27586
16,0.6072684999,0.61956,0.13793
Best fitness
Objective,Generation,Error
0,16,0.2751
1,2,0.06897
Avg simulation runtime,Avg generation runtime
22.11,51.788823529411765
