Generation,Hypervolume,Min error,Max error,Avg error,Min gate fit,Max gate fit,Avg gate fit
0,0.45135742869999995,0.50931,1.0,0.8366752080000001,0.05,1.0,0.463570146
1,0.4521246087,0.50931,1.0,0.813624094,0.05,1.0,0.429789218
2,0.4602440215,0.5003,1.0,0.799334612,0.05,1.0,0.38245860600000003
3,0.5233505791,0.41268,0.95487,0.787354058,0.05,1.0,0.34031343
4,0.5236544928,0.41268,0.86164,0.771346864,0.05,1.0,0.319653764
5,0.5256429871,0.41268,0.83492,0.7602390499999999,0.05,1.0,0.29316864000000004
6,0.5791632935,0.33612,0.82629,0.7491237119999999,0.05,1.0,0.26109387800000006
Best Pareto front
Generation,Hypervolume,error,gate fit
8,0.5791632935,0.50931,0.17241
8,0.5791632935,0.41268,0.31034
8,0.5791632935,0.60549,0.06897
8,0.5791632935,0.51865,0.13793
8,0.5791632935,0.62066,0.05
8,0.5791632935,0.43906,0.24138
8,0.5791632935,0.46277,0.2069
8,0.5791632935,0.33612,0.37931
8,0.5791632935,0.56772,0.10345
Best fitness
Objective,Generation,Error
0,8,0.33612
1,2,0.05
Avg simulation runtime,Avg generation runtime
43.91142857142857,136.3542857142857
