Generation,Hypervolume,Min error,Max error,Avg error,Min gate fit,Max gate fit,Avg gate fit
0,0.9207191924,0.01183,0.875,0.5075257400000001,0.005,0.82759,0.132613594
1,0.922418022,0.01183,0.875,0.604131826,0.005,0.75862,0.053103724
2,0.9332389573,0.00154,0.875,0.545035932,0.005,0.72414,0.06074369799999999
3,0.9373089805999999,0.0,0.875,0.49680403399999995,0.005,0.72414,0.07518130800000002
4,0.9448059536,0.0,0.875,0.497569946,0.005,0.72414,0.086490142
5,0.9448059536,0.0,0.875,0.500512032,0.005,0.72414,0.08050017
6,0.9448059536,0.0,0.875,0.31590999000000003,0.005,0.72414,0.181614798
7,0.9448059536,0.0,0.875,0.12268216,0.005,0.65517,0.25175593
8,0.9448059536,0.0,0.875,0.059771922000000005,0.005,0.62069,0.276144658
9,0.9448059536,0.0,0.875,0.05588453999999999,0.005,0.51724,0.278507862
10,0.9448059536,0.0,0.875,0.053378963999999994,0.005,0.58621,0.27923077599999996
11,0.9448059536,0.0,0.875,0.049434073999999995,0.005,0.51724,0.27990464
12,0.9448059536,0.0,0.875,0.055448111999999994,0.005,0.51724,0.28016772999999995
13,0.9448059536,0.0,0.875,0.051238365999999994,0.005,0.51724,0.27905348399999996
14,0.9448059536,0.0,0.875,0.06011207599999999,0.005,0.48276,0.27782337199999996
15,0.9448059536,0.0,0.875,0.059762054,0.005,0.51724,0.275778374
16,0.9448059536,0.0,0.875,0.06134833400000001,0.005,0.48276,0.27454107399999994
17,0.9448059536,0.0,0.875,0.069011036,0.005,0.48276,0.272241236
18,0.9448059536,0.0,0.875,0.07081741000000001,0.005,0.48276,0.271992854
19,0.9448059536,0.0,0.875,0.077392238,0.005,0.51724,0.27043202599999994
Best Pareto front
Generation,Hypervolume,error,gate fit
6,0.9448059536,0.25,0.03448
6,0.9448059536,0.25,0.03448
6,0.9448059536,0.25,0.03448
6,0.9448059536,0.25,0.03448
6,0.9448059536,0.25,0.03448
6,0.9448059536,0.25,0.03448
6,0.9448059536,0.25,0.03448
6,0.9448059536,0.75,0.005
6,0.9448059536,0.75,0.005
6,0.9448059536,0.75,0.005
6,0.9448059536,0.75,0.005
6,0.9448059536,0.75,0.005
6,0.9448059536,0.75,0.005
6,0.9448059536,0.75,0.005
6,0.9448059536,0.75,0.005
6,0.9448059536,0.75,0.005
6,0.9448059536,0.75,0.005
6,0.9448059536,0.75,0.005
6,0.9448059536,0.75,0.005
6,0.9448059536,0.125,0.06897
6,0.9448059536,0.125,0.06897
6,0.9448059536,0.125,0.06897
6,0.9448059536,0.0,0.27586
6,0.9448059536,0.03509,0.2069
Best fitness
Objective,Generation,Error
0,5,0.0
1,2,0.005
Avg simulation runtime,Avg generation runtime
31.7815,44.802499999999995
