Generation,Hypervolume,Min error,Max error,Avg error,Min gate fit,Max gate fit,Avg gate fit
0,0.9159534152,0.00179,0.875,0.496408716,0.005,0.89655,0.15049421000000002
1,0.9194102255999999,0.00043,0.875,0.624739902,0.005,0.82759,0.082325854
2,0.9223630941999998,0.00042,0.875,0.521142206,0.005,0.82759,0.19844287200000002
3,0.9282104973999998,3e-05,0.875,0.43494419799999995,0.005,0.82759,0.26517071000000003
4,0.9291294014999999,3e-05,0.875,0.45089365600000003,0.005,0.82759,0.25230698599999996
5,0.9342957599999999,-0.0,0.875,0.433104004,0.005,0.89655,0.261968058
6,0.93860576,-0.0,0.875,0.443827902,0.005,0.82759,0.24596362400000002
7,0.94291576,-0.0,0.875,0.32825603200000003,0.005,0.82759,0.268764508
8,0.94291576,-0.0,0.875,0.217096616,0.005,0.82759,0.28868783800000003
9,0.94291576,-0.0,0.875,0.184612826,0.005,0.82759,0.2882991
10,0.94291576,-0.0,0.875,0.16734026,0.005,0.82759,0.287240868
11,0.94291576,-0.0,0.875,0.138673656,0.005,0.82759,0.290730758
12,0.94291576,-0.0,0.875,0.135524698,0.005,0.82759,0.28803050999999996
13,0.94291576,-0.0,0.875,0.140459018,0.005,0.82759,0.28676969199999996
14,0.94291576,-0.0,0.875,0.14309267399999998,0.005,0.82759,0.2864020439999999
15,0.94291576,-0.0,0.875,0.14116004199999999,0.005,0.82759,0.28455683
16,0.94291576,-0.0,0.875,0.13486014999999998,0.005,0.82759,0.28633076
17,0.94291576,-0.0,0.875,0.13385859999999997,0.005,0.82759,0.28664221399999995
18,0.94291576,-0.0,0.875,0.141604804,0.005,0.82759,0.285416996
Best Pareto front
Generation,Hypervolume,error,gate fit
9,0.94291576,0.75,0.005
9,0.94291576,0.75,0.005
9,0.94291576,0.75,0.005
9,0.94291576,0.75,0.005
9,0.94291576,0.75,0.005
9,0.94291576,0.75,0.005
9,0.94291576,0.75,0.005
9,0.94291576,0.75,0.005
9,0.94291576,0.75,0.005
9,0.94291576,0.75,0.005
9,0.94291576,0.75,0.005
9,0.94291576,0.75,0.005
9,0.94291576,0.75,0.005
9,0.94291576,0.75,0.005
9,0.94291576,0.75,0.005
9,0.94291576,0.75,0.005
9,0.94291576,0.25,0.03448
9,0.94291576,0.25,0.03448
9,0.94291576,0.25,0.03448
9,0.94291576,0.25,0.03448
9,0.94291576,0.25,0.03448
9,0.94291576,0.25,0.03448
9,0.94291576,0.25,0.03448
9,0.94291576,0.25,0.03448
9,0.94291576,0.25,0.03448
9,0.94291576,0.25,0.03448
9,0.94291576,0.25,0.03448
9,0.94291576,0.25,0.03448
9,0.94291576,0.125,0.06897
9,0.94291576,0.125,0.06897
9,0.94291576,0.125,0.06897
9,0.94291576,-0.0,0.24138
Best fitness
Objective,Generation,Error
0,7,-0.0
1,2,0.005
Avg simulation runtime,Avg generation runtime
32.22315789473684,46.73842105263159
