Generation,Hypervolume,Min error,Max error,Avg error,Min gate fit,Max gate fit,Avg gate fit
0,0.49853223849999995,0.41962,1.0,0.8494201219999999,0.06897,0.93103,0.273792926
1,0.5292882735,0.3421,1.0,0.8279353620000002,0.06897,0.93103,0.249820966
2,0.5339642223000001,0.3421,1.0,0.815597018,0.06897,0.96552,0.22042853199999998
3,0.5362187323000001,0.3421,1.0,0.818470162,0.06897,0.93103,0.182546654
4,0.5370911438,0.3421,1.0,0.8285474060000001,0.06897,0.93103,0.160374926
5,0.5370911438,0.3421,1.0,0.827397878,0.06897,0.93103,0.158499102
6,0.5957979259,0.27591,1.0,0.826785262,0.06897,0.93103,0.15805084200000002
7,0.5957979259,0.27591,1.0,0.8269565279999999,0.06897,0.93103,0.157768042
8,0.5961124747000001,0.27591,1.0,0.828324498,0.06897,0.93103,0.15751287000000003
9,0.5961124747000001,0.27591,1.0,0.828080746,0.06897,1.0,0.158002526
10,0.5961124747000001,0.27591,1.0,0.8277633399999998,0.06897,0.93103,0.157705982
11,0.5961124747000001,0.27591,1.0,0.8280139200000002,0.06897,1.0,0.158023204
12,0.5961124747000001,0.27591,1.0,0.8284109059999999,0.06897,0.93103,0.157850786
13,0.6036024169,0.27591,1.0,0.8285252000000001,0.06897,0.93103,0.15786457
14,0.6037762380999999,0.27563,1.0,0.82962631,0.06897,0.93103,0.157312884
15,0.6037762380999999,0.27563,1.0,0.827604748,0.06897,1.0,0.157478396
16,0.604942995,0.27364,1.0,0.8280915799999999,0.06897,0.93103,0.15789217199999997
17,0.604942995,0.27364,1.0,0.827377534,0.06897,1.0,0.15933351
18,0.604942995,0.27364,1.0,0.827816016,0.06897,0.93103,0.15883699999999998
19,0.6149504580999999,0.25763,1.0,0.826932494,0.06897,0.93103,0.157988762
20,0.6149504580999999,0.25763,1.0,0.8283421959999999,0.06897,0.93103,0.15805079800000002
21,0.6149504580999999,0.25763,1.0,0.8273702659999999,0.06897,0.93103,0.158292216
22,0.6149504580999999,0.25763,1.0,0.8282624099999999,0.06897,0.93103,0.15714738
Best Pareto front
Generation,Hypervolume,error,gate fit
21,0.6149504580999999,0.82322,0.06897
21,0.6149504580999999,0.82322,0.06897
21,0.6149504580999999,0.82322,0.06897
21,0.6149504580999999,0.82322,0.06897
21,0.6149504580999999,0.82322,0.06897
21,0.6149504580999999,0.82322,0.06897
21,0.6149504580999999,0.82322,0.06897
21,0.6149504580999999,0.82322,0.06897
21,0.6149504580999999,0.82322,0.06897
21,0.6149504580999999,0.82322,0.06897
21,0.6149504580999999,0.82322,0.06897
21,0.6149504580999999,0.82322,0.06897
21,0.6149504580999999,0.46715,0.2069
21,0.6149504580999999,0.46715,0.2069
21,0.6149504580999999,0.46715,0.2069
21,0.6149504580999999,0.46715,0.2069
21,0.6149504580999999,0.46715,0.2069
21,0.6149504580999999,0.46715,0.2069
21,0.6149504580999999,0.46715,0.2069
21,0.6149504580999999,0.60979,0.17241
21,0.6149504580999999,0.60979,0.17241
21,0.6149504580999999,0.62506,0.13793
21,0.6149504580999999,0.62506,0.13793
21,0.6149504580999999,0.76903,0.10345
21,0.6149504580999999,0.76903,0.10345
21,0.6149504580999999,0.27591,0.34483
21,0.6149504580999999,0.27591,0.34483
21,0.6149504580999999,0.32125,0.24138
21,0.6149504580999999,0.32125,0.24138
21,0.6149504580999999,0.25763,0.37931
Best fitness
Objective,Generation,Error
0,21,0.25763
1,2,0.06897
Avg simulation runtime,Avg generation runtime
19.486956521739128,38.544347826086955
